dmon_large,phi_c,geometry,direct_contact,cluster_size,gyr
1.0,0.0,Cylindrical confinement,0.00111497770044598,1.0005577998174018,1.0
1.0,0.1,Cylindrical confinement,0.00172596548069038,1.0008637281228077,0.9238116619010488
1.0,0.15,Cylindrical confinement,0.00191296174076518,1.0009573966019178,0.9008194224942264
1.0,0.2,Cylindrical confinement,0.0023039539209215804,1.0011533055418733,0.87564632116947
1.0,0.225,Cylindrical confinement,0.0024339513209735803,1.0012184584948183,0.8625061696350989
1.0,0.25,Cylindrical confinement,0.00257894842103156,1.0012911391010888,0.8521317120430681
1.0,0.275,Cylindrical confinement,0.0026519469610607606,1.001327734020631,0.83975578766613
1.0,0.3,Cylindrical confinement,0.00294894102117956,1.0014761463167445,0.8280449466301909
1.0,0.325,Cylindrical confinement,0.00306093878122436,1.0015328153175374,0.8199692333863202
1.0,0.35,Cylindrical confinement,0.00299494010119796,1.0014992143395796,0.8159012122468162
1.0,0.375,Cylindrical confinement,0.0029279414411711602,1.0014656156161417,0.8117347196521927
1.0,0.4,Cylindrical confinement,0.00343693126137476,1.0017214238383894,0.8066285210536768
3.0,0.0,Cylindrical confinement,0.01494970100597984,1.0075296220378593,1.0
3.0,0.1,Cylindrical confinement,0.020667586648267,1.0104376117774252,0.9244029747937268
3.0,0.15,Cylindrical confinement,0.023317533649326965,1.0117911785715008,0.8981822549698945
3.0,0.2,Cylindrical confinement,0.026921461570768544,1.0136356610166055,0.870692552167496
3.0,0.225,Cylindrical confinement,0.02879142417151652,1.014595166869666,0.862791578735355
3.0,0.25,Cylindrical confinement,0.030065398692026127,1.0152466695499094,0.8527479822059599
3.0,0.275,Cylindrical confinement,0.032208355832883305,1.0163548552333097,0.8387658713475353
3.0,0.3,Cylindrical confinement,0.03581128377432448,1.0182155111848739,0.8332516702346257
3.0,0.325,Cylindrical confinement,0.04164416711665763,1.0212304457428563,0.8167444875888246
3.0,0.35,Cylindrical confinement,0.04648507029859401,1.0237054735413254,0.8198792048658987
3.0,0.375,Cylindrical confinement,0.05481190376192473,1.0280899396214853,0.8082177212286238
3.0,0.4,Cylindrical confinement,0.07708945821083575,1.039765558350736,0.782690244396956
4.0,0.0,Cylindrical confinement,0.027369452610947746,1.0138663730568371,1.0
4.0,0.1,Cylindrical confinement,0.03995720085598284,1.020369223422719,0.9304729175248512
4.0,0.15,Cylindrical confinement,0.04787904241915158,1.0245046363030055,0.8924685568398534
4.0,0.2,Cylindrical confinement,0.05929881402371951,1.0305001329318586,0.8715123984406947
4.0,0.225,Cylindrical confinement,0.06656466870662583,1.0343757563721443,0.8625617685389466
4.0,0.25,Cylindrical confinement,0.08126037479250416,1.0421401796405314,0.8585530824881686
4.0,0.275,Cylindrical confinement,0.09671206575868475,1.0505106955607355,0.8369676817669884
4.0,0.3,Cylindrical confinement,0.13801723965520685,1.0729943454328907,0.8246599952614465
4.0,0.325,Cylindrical confinement,0.26298874022519547,1.1439520464892814,0.7689405504855412
4.0,0.35,Cylindrical confinement,0.4459310813783724,1.247074110885118,0.7659756159249357
4.0,0.375,Cylindrical confinement,2.183162336753265,2.4432147176311063,0.5855257934513916
4.0,0.4,Cylindrical confinement,3.3971600567988642,4.601283732486715,0.4702790101269947
5.0,0.0,Cylindrical confinement,0.045257094858102795,1.0231430325352975,1.0
5.0,0.1,Cylindrical confinement,0.06931161376772461,1.035857027657347,0.9226331886696444
5.0,0.15,Cylindrical confinement,0.09465710685786283,1.0495795730710558,0.875852308925278
5.0,0.2,Cylindrical confinement,0.1332373352532949,1.070939773693533,0.8640228363307789
5.0,0.225,Cylindrical confinement,0.1918621627567448,1.1044678697394557,0.8428135702005625
5.0,0.25,Cylindrical confinement,0.3040179196416071,1.1710850823139238,0.8189546853178021
5.0,0.275,Cylindrical confinement,0.7020019599608008,1.4123349454814305,0.7565700012732111
5.0,0.3,Cylindrical confinement,2.7707605847883046,3.3546292118624024,0.5030199226636624
5.0,0.325,Cylindrical confinement,3.37359952800944,4.461337705356844,0.4422759355535748
5.0,0.35,Cylindrical confinement,3.4014469710605786,4.49830304911374,0.4387305944604225
5.0,0.375,Cylindrical confinement,3.419955600887983,4.531046107003045,0.4308002531605042
5.0,0.4,Cylindrical confinement,3.24787404251915,4.130206279027026,0.4492433744668708
6.0,0.0,Cylindrical confinement,0.06772864542709141,1.035032028425551,1.0
6.0,0.1,Cylindrical confinement,0.11285774284514308,1.0596698770489636,0.9162055498339466
6.0,0.15,Cylindrical confinement,0.19380212395752078,1.1064016223948911,0.8641660531782775
6.0,0.2,Cylindrical confinement,0.48415031699366007,1.2923694862158628,0.8063269877173007
6.0,0.225,Cylindrical confinement,1.3041619167616645,1.8503400857060384,0.6833272205170056
6.0,0.25,Cylindrical confinement,3.4665506689866206,4.889499520838631,0.3984289244116614
6.0,0.275,Cylindrical confinement,3.5446491070178596,4.8772422672870395,0.3953388626181575
6.0,0.3,Cylindrical confinement,3.362132757344853,4.4803763440860225,0.4207512670574894
6.0,0.325,Cylindrical confinement,3.4388812223755525,4.649547375615472,0.4007927863092384
6.0,0.35,Cylindrical confinement,3.277928441431172,4.249093898848095,0.4203254101019458
6.0,0.375,Cylindrical confinement,3.392744145117098,4.581363386476086,0.4005979219279009
6.0,0.4,Cylindrical confinement,3.592798144037119,4.988053849952366,0.3688227338031093
1.0,0.0,Free Space,0.0003279934401311801,1.0001640236194014,1.0
1.0,0.1,Free Space,0.00054498910021798,1.000272568823628,0.9614638413241916
1.0,0.15,Free Space,0.0006879862402751802,1.0003441114921234,0.9332058557109038
1.0,0.2,Free Space,0.00073698526029478,1.0003686284670208,0.9195492304512186
1.0,0.225,Free Space,0.0008079838403231799,1.0004041551955951,0.9130509844020892
1.0,0.25,Free Space,0.0009149817003659798,1.0004577002438568,0.8981298746243739
1.0,0.275,Free Space,0.00096198076038478,1.0004812218432697,0.8900614508061884
1.0,0.3,Free Space,0.00096898062038758,1.0004847251548343,0.8832008037227439
1.0,0.325,Free Space,0.00101497970040598,1.0005077475269193,0.8711787175892287
1.0,0.35,Free Space,0.00116297674046518,1.0005818266956896,0.8622518289368268
1.0,0.375,Free Space,0.0011859762804743799,1.0005928394005568,0.864326003635479
1.0,0.4,Free Space,0.0012069758604827798,1.000603852347845,0.8552596918573477
3.0,0.0,Free Space,0.00447991040179196,1.0022449838641785,1.0
3.0,0.1,Free Space,0.006972860542789141,1.0034986279939413,0.953006220280808
3.0,0.15,Free Space,0.008044839103217922,1.0040376566832179,0.939183232607684
3.0,0.2,Free Space,0.009249815003699882,1.0046448827175904,0.9208875358573364
3.0,0.225,Free Space,0.00971680566388668,1.0048811123811436,0.9115228644595164
3.0,0.25,Free Space,0.01153876922461546,1.0057998287157148,0.9016086317373464
3.0,0.275,Free Space,0.01377672446551064,1.0069310714086128,0.8768971947338474
3.0,0.3,Free Space,0.013042739145217041,1.0065631638465846,0.8848179455307639
3.0,0.325,Free Space,0.017443651126977423,1.0087817740989362,0.8625421548987349
3.0,0.35,Free Space,0.01652766944661102,1.0083260861345333,0.8681521311539303
3.0,0.375,Free Space,0.0182596348073038,1.0092068095876765,0.8574160044309603
3.0,0.4,Free Space,0.023769524609507754,1.01202463623502,0.8443303961728191
4.0,0.0,Free Space,0.0077958440831183175,1.0039131752937893,1.0
4.0,0.1,Free Space,0.012263754724905462,1.0061676845526166,0.9662532708722008
4.0,0.15,Free Space,0.015967680646387022,1.0080440304826417,0.9382548445865044
4.0,0.2,Free Space,0.019077618447631003,1.0096235391039567,0.926128926324034
4.0,0.225,Free Space,0.022479550408991782,1.0113654981583404,0.9155887397273986
4.0,0.25,Free Space,0.03215535689286209,1.0162980457995716,0.8847331024475984
4.0,0.275,Free Space,0.03249935001299971,1.0164974232305677,0.8909170422279173
4.0,0.3,Free Space,0.04314513709725802,1.0219740464661864,0.8774278922207565
4.0,0.325,Free Space,0.061332773344533034,1.0314705691231334,0.8727322751323564
4.0,0.35,Free Space,0.09710605787884233,1.049499713492308,0.8657190226082834
4.0,0.375,Free Space,0.19928201435971266,1.1013205670806447,0.8297210996102702
4.0,0.4,Free Space,1.949611007779844,2.0343182627269494,0.6368513878940987
5.0,0.0,Free Space,0.012004759904801859,1.0060376139880696,1.0
5.0,0.1,Free Space,0.02746745065098694,1.0139090328870026,0.9278792831826238
5.0,0.15,Free Space,0.02821843563128734,1.014290561048674,0.9434158172860116
5.0,0.2,Free Space,0.04705305893882118,1.024036209196173,0.917160413060381
5.0,0.225,Free Space,0.055111897762044684,1.0281840165822203,0.913083141757814
5.0,0.25,Free Space,0.08267534649307014,1.0427584998759143,0.898581864826645
5.0,0.275,Free Space,0.19152716945661083,1.100575754690973,0.8575867314241669
5.0,0.3,Free Space,0.5628537429251413,1.2845348310709919,0.7998567604303075
5.0,0.325,Free Space,3.178486430271395,4.048131318753605,0.4835163472257441
5.0,0.35,Free Space,3.5293184136317275,4.837593152040094,0.4506826019412885
5.0,0.375,Free Space,3.500435966139672,4.689733424386874,0.4516383444877436
5.0,0.4,Free Space,3.4805643887122253,4.6444942943528735,0.4502545401475859
6.0,0.0,Free Space,0.015915681686366222,1.0080206599782473,1.0
6.0,0.1,Free Space,0.0317673646527069,1.016121460665709,0.957688011321342
6.0,0.15,Free Space,0.049847003059938756,1.025529008558894,0.9340539100194633
6.0,0.2,Free Space,0.12359752804943895,1.0648819601955082,0.9124270778537296
6.0,0.225,Free Space,0.27179256414871694,1.1476147304880706,0.8733978495904962
6.0,0.25,Free Space,2.270894582108358,2.726387908166186,0.563836899532932
6.0,0.275,Free Space,3.50214995700086,4.89438136256852,0.42945167682061275
6.0,0.3,Free Space,3.5764464710705783,4.9470919101823965,0.420729373476911
6.0,0.325,Free Space,3.531765364692706,4.842195988805067,0.4191446849787184
6.0,0.35,Free Space,3.5472470550588993,4.801094627682559,0.4189437366683485
6.0,0.375,Free Space,3.5141517169656606,4.731515521426241,0.4175327803390994
6.0,0.4,Free Space,3.5536089278214433,4.843579721305996,0.4070843822664183
